,ROC-AUC,ROC-AUC Std,Accuracy,F1-Score,Training Time(s),Precision,Recall,Best Parameters
Logistic Regression,0.95,0.029360531608377517,0.8161538461538461,0.8409309420737993,0.010596847534179688,0.9356140350877192,0.7692307692307692,"{'C': 100, 'solver': 'liblinear'}"
SVM (Linear),0.9359780219780219,0.022472632257473545,0.8675641025641024,0.8960047328109256,0.011849546432495117,0.9030173530173531,0.9039999999999999,{'C': 0.1}
Neural Network (MLP),0.933956043956044,0.03109202735358253,0.8271794871794871,0.8652972501437379,0.04759678840637207,0.8912961287078934,0.8566153846153848,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}"
SVM (RBF),0.9263516483516483,0.024720575866084258,0.8320512820512821,0.8744480589893733,0.016645002365112304,0.8483743842364533,0.9126153846153846,"{'C': 10, 'gamma': 'scale'}"
Random Forest,0.8556043956043956,0.052606038076636344,0.7605128205128204,0.8373726252320731,0.26006159782409666,0.7517204077007582,0.952,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}"
Naive Bayes,0.8424175824175822,0.058594906949291134,0.7302564102564102,0.7753026004728133,0.0015702247619628906,0.8379117259552042,0.7227692307692307,{'var_smoothing': 1e-09}
K-Nearest Neighbors,0.8192967032967033,0.05856875238716344,0.7096153846153846,0.8057885811192765,0.0010006427764892578,0.7078932178932179,0.9369230769230767,"{'n_neighbors': 11, 'p': 2, 'weights': 'distance'}"
Gradient Boosting,0.8027472527472528,0.047398089788407094,0.7248717948717949,0.8053487693163912,3.560092401504517,0.7502272727272727,0.8812307692307693,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200}"
